# Reference parser fixtures: input <TAB> expected id (BOOK.chapter[.verse[-end]]) or NONE.
# Shared by the Rust tests (crates/bible-ref) and the browser tests (packages/bible-wasm).
1 நாளா 29:11	1CH.29.11
எஸ்றா 7:10	EZR.7.10
நெகே 8:10	NEH.8.10
எஸ்தர் 4:14	EST.4.14
யோபு 19:25	JOB.19.25
சங் 23	PSA.23
சங் ௨௩	PSA.23
சங்கீதம் 23:1	PSA.23.1
சங்கீதங்கள் 119:105	PSA.119.105
நீதி 3:5-6	PRO.3.5-6
பிரச 3:1	ECC.3.1
உன்னத 2:1	SNG.2.1
ஏசா 53:5	ISA.53.5
ஏசாயா 40:31	ISA.40.31
எரே 29:11	JER.29.11
புலம் 3:22	LAM.3.22
எசேக் 37	EZK.37
தானி 3	DAN.3
ஓசியா 6:6	HOS.6.6
யோவே 2:28	JOL.2.28
ஆமோ 5:24	AMO.5.24
ஒபதி 1	OBA.1.1
யோனா 2	JON.2
மீகா 6:8	MIC.6.8
நாகூ 1:7	NAM.1.7
ஆப 3:17	HAB.3.17
செப்ப 3:17	ZEP.3.17
ஆகாய் 2:9	HAG.2.9
சகரி 4:6	ZEC.4.6
மல்கி 3:10	MAL.3.10
மத் 5:3-12	MAT.5.3-12
மத்தேயு 28:19	MAT.28.19
மாற் 16:15	MRK.16.15
மாற்கு 1	MRK.1
லூக் 2:11	LUK.2.11
லூக்கா 15	LUK.15
யோவான் 3:16	JHN.3.16
யோவா 3	JHN.3
யோவா. 3:16	JHN.3.16
அப் 2:38	ACT.2.38
அப்போஸ்தலர் 1:8	ACT.1.8
ரோமர் 8:28	ROM.8.28
1 கொரி 13	1CO.13
1 கொரி 13.4-7	1CO.13.4-7
1கொரி13:4	1CO.13.4
2 கொரி 5:17	2CO.5.17
கலா 5:22	GAL.5.22
எபே 2:8-9	EPH.2.8-9
பிலி 4:13	PHP.4.13
கொலோ 3:23	COL.3.23
1 தெச 5:16-18	1TH.5.16-18
1 தீமோ 4:12	1TI.4.12
தீத் 2	TIT.2
பிலே 5	PHM.1.5
எபி 11:1	HEB.11.1
யாக் 1:5	JAS.1.5
1 பேது 5:7	1PE.5.7
1 யோவா 4:8	1JN.4.8
3 யோவா 5	3JN.1.5
யூதா 24	JUD.1.24
வெளி 21:4	REV.21.4
வெளிப்படுத்தின விசேஷம் 21	REV.21
வெளிப்படுத்தல் 3:20	REV.3.20
	NONE
hello world	NONE
அன்பு	NONE
John 99	NONE
John 3:0	NONE
John 3:18-16	NONE
Jn 3:16:17	NONE
J 3	NONE
Genesis 51	NONE
Psalm 151	NONE
